meter_code,type,fab,fab_group,meter_name,wisdom_batch_id
ZP1-3,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP353,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP252,製程用電,Fab2,Fab12,2F設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP543(風冷熱泵),空調用電,Fab3,Fab3,風冷熱泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP152,照明插座,Fab2,Fab12,地下一層照明,20220519095229_02e064cd16a944128c90118f8081c77e
MP134,基礎用電,Fab2,Fab12,消防,20220519095229_02e064cd16a944128c90118f8081c77e
PCI(1#原緯潤冷卻水泵*50,空調用電,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP357(FAB2)3F-TDB-19,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP464(FAB2)IQC,QE用電,Fab2,Fab12,IQC,20220519095229_02e064cd16a944128c90118f8081c77e
MP132,製程用電,Fab2,Fab12,1F設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP141(FAB2)1F-TDB-13,製程用電,Fab2,Fab12,Fab2棟設備,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP331(FAB2)3FMAU,空調用電,Fab2,Fab12,MAU,20220519095229_02e064cd16a944128c90118f8081c77e
MP358,製程用電,Fab2,Fab12,3F設備,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-ZP1-2,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
TR1,高壓變壓器,Fab2,Fab12,高壓變壓器,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-15,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP442,空調用電,Fab2,Fab12,空調水泵,20220519095229_02e064cd16a944128c90118f8081c77e
MP461,純水用電,Fab2,Fab12,純水,20220519095229_02e064cd16a944128c90118f8081c77e
MP71(無塵室),,Fab3,Fab3,,20220519095229_02e064cd16a944128c90118f8081c77e
UPS-ZP1-4,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
ZP1-9,製程用電,Fab3,Fab3,1F無塵室設備,20220519095229_02e064cd16a944128c90118f8081c77e
MP234,空壓用電,Fab2,Fab12,Fab2棟7#,20220519095229_02e064cd16a944128c90118f8081c77e
DB_MP555(FAB2)DIW,純水用電,Fab2,Fab12,純水1,20220519095229_02e064cd16a944128c90118f8081c77e
